product_id,location,category,price,margin,impressions,clicks,orders,stock
P1,DE,premium,120,0.35,10000,800,120,150
P2,DE,mass,60,0.25,20000,1500,180,500
P3,DE,discount,30,0.15,30000,2000,150,800
P4,FR,premium,110,0.33,9000,700,100,120
P5,FR,mass,55,0.22,18000,1400,160,450
P6,FR,discount,25,0.12,25000,1800,140,700
P7,ES,premium,100,0.30,8000,600,90,100
P8,ES,mass,50,0.20,16000,1200,140,400
P9,ES,discount,20,0.10,22000,1600,130,650
P10,DE,premium,130,0.38,7000,500,80,90
P11,FR,mass,65,0.24,15000,1100,130,350
P12,ES,discount,18,0.08,20000,1400,120,600
P13,DE,mass,70,0.26,21000,1600,200,550
P14,DE,discount,28,0.14,32000,2100,170,850
P15,FR,premium,115,0.34,9500,750,110,130
P16,FR,mass,58,0.23,17000,1300,150,420
P17,FR,discount,27,0.13,24000,1700,135,680
P18,ES,premium,105,0.31,8200,620,95,110
P19,ES,mass,52,0.21,15500,1150,135,390
P20,ES,discount,22,0.11,21000,1500,125,620
P21,DE,premium,125,0.36,9800,780,115,140
P22,DE,mass,62,0.25,19500,1450,175,480
P23,DE,discount,32,0.16,31000,2050,160,820
P24,FR,premium,112,0.32,8700,680,98,115
P25,FR,mass,57,0.22,16500,1250,145,410
P26,FR,discount,26,0.12,23500,1650,130,690
P27,ES,premium,98,0.29,7800,580,88,95
P28,ES,mass,48,0.19,15000,1100,130,380
P29,ES,discount,19,0.09,20500,1450,120,610
P30,DE,premium,135,0.39,7200,520,82,95
P31,DE,mass,68,0.27,20500,1550,190,530
P32,DE,discount,29,0.14,29500,1950,155,790
P33,FR,premium,118,0.35,9200,730,108,125
P34,FR,mass,60,0.23,16000,1200,140,400
P35,FR,discount,24,0.11,23000,1600,125,660
P36,ES,premium,102,0.30,8000,610,92,105
P37,ES,mass,51,0.20,15200,1120,132,370
P38,ES,discount,21,0.10,20800,1480,122,600
P39,DE,premium,128,0.37,9600,770,118,135
P40,DE,mass,64,0.26,19800,1500,180,500
P41,DE,discount,31,0.15,30500,2020,158,810
P42,FR,premium,113,0.33,8900,690,102,118
P43,FR,mass,56,0.22,16800,1280,148,430
P44,FR,discount,25,0.12,23800,1680,132,670
P45,ES,premium,101,0.30,8100,615,93,108
P46,ES,mass,49,0.20,14900,1090,128,360
P47,ES,discount,20,0.09,20200,1420,118,590
P48,DE,mass,66,0.26,20200,1520,185,520
P49,FR,mass,59,0.23,16200,1220,142,405
P50,ES,mass,53,0.21,15400,1130,134,385
